Identifier,Woreda,Kebele,School Name,Lat,Lot,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Water Service Level,Main Source of Drinking Water Provided by the School,Main Water Source is Currently Available at the School,Sanitation Service Level,Type of Student Toilets at the School,Number of Student Toilets Currently Usable,Toilets are Separate for Girls and Boys,Hygiene Service Level,Handwashing Facilities are at the School,Soap and water available at the handwashing facilities
fduw-4f2f-2enp,Negelle Arsi,Weni,Weni,468317,815698,41.84363881,4.231700255,Primary(1-4),62,61,,,,,,,,,,
chct-mx42-vw59,Negelle Arsi,Bonkore,Bonkore,480536,794335,41.65173724,4.342807698,Primary(1-4),170,179,,,,,,,,,,
qk1y-nrj9-kdbr,Negelle Arsi,Ilala,Ilala,488259,810215,41.79495121,4.412075523,Primary(1-8),328,321,,,,,,,,,,
w0xj-gp8t-7xmu,Negelle Arsi,Hawilo,Hawilo,473037,795235,41.65960405,4.275010741,Primary(1-8),358,302,,,,,,,,,,
eyp3-cdhg-3wj7,Negelle Arsi,w/kiltota,w/kiltota,463713,818439,41.86815505,4.190010035,Primary(1-8),289,267,,,,,,,,,,
p9f7-e4wa-9snx,Negelle Arsi,Sh/Haroresa,Sh/Haroresa,463356,813410,41.82288506,4.18694929,Primary(1-8),299,314,,,,,,,,,,
rsnq-avqe-2j3k,Negelle Arsi,Awara,Awara,483545,809170,41.7853855,4.369515123,Primary(1-4),193,207,,,,,,,,,,
3f2v-qvhr-jdsn,Negelle Arsi,Daka Langano,Daka Langano,464951,842155,42.08160585,4.200380211,Primary(1-8),310,279,,,,,,,,,,
4tck-uq3v-adbn,Negelle Arsi,Ashoka,Ashoka,463438,812705,41.81654296,4.187713136,Primary(1-8),404,315,,,,,,,,,,
gbtx-6s8q-j5d6,Negelle Arsi,Bila,Bila,444936,833497,42.00302391,4.019862475,Primary(1-4),168,153,,,,,,,,,,
sb7p-nt8n-e4vn,Negelle Arsi,Sh/Dangaya,Sh/Dangaya,441126,833477,42.00271848,3.985442203,Primary(1-4),258,217,,,,,,,,,,
g9nc-aa3c-yjh4,Negelle Arsi,Arjo,Arjo,463515,826793,41.94332606,4.187941221,Primary(1-8),322,383,,,,,,,,,,
tgps-9dqb-35mr,Negelle Arsi,Koticha,Koticha,470703,819556,41.87844007,4.253129996,Primary(1-8),272,242,,,,,,,,,,
xqvn-31v6-w593,Negelle Arsi,A/Mata Arba,A/Mata Arba,475899,793702,41.64589311,4.300922761,Primary(1-8),345,345,,,,,,,,,,
v6cc-75nw-ppfh,Negelle Arsi,Qumudu,Qumudu,468921,823414,41.91310094,4.236898774,Primary(1-8),374,306,,,,,,,,,,
jbyb-0pse-619p,Negelle Arsi,D/H/kalo,D/H/kalo,465703,845879,42.11513964,4.207039928,Primary(1-8),408,349,,,,,,,,,,
uy5j-d17g-bpah,Negelle Arsi,karsa no 2,karsa no 2,461375,808167,41.77563607,4.169217816,Primary(1-4),162,159,,,,,,,,,,
wum3-jvjh-jfny,Negelle Arsi,karsa korke,karsa korke,459663,810005,41.79212304,4.153689429,Primary(1-8),249,198,,,,,,,,,,
76vc-bje3-npwe,Negelle Arsi,Layo,Layo,442249,836225,42.02747621,3.995496682,Primary(1-4),155,161,,,,,,,,,,
3n63-3a88-fhpj,Negelle Arsi,Boso,Boso,465556,827759,41.95208807,4.20634831,Primary(1-8),306,289,,,,,,,,,,
