Woreda,Kebele,School Name,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Reason for Inventory,Water Supply Source,Water,Year Commisioned,Functionality_Status_of_Water_Supply,Yield,Type of Latrine,Sanitation,latrine_For_Boys_and_Girls_Separate,Number of Boy Pupils,Number of Girl Pupils,Are there Latrines for Disabled?,Latrine_Condition,Presence_of_HandWashingFacility,,hand_washing_in_use,availability_of_soap,Urinal_present_girls,Urinal_present_boys,Separate_latrine_for_tolitet_Staff
Negelle Arsi,Hadansho,Hadansho,7.346225379,38.7477257,Primary(1-8),246,253,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,246,253,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Mako,Mako,7.362858871,38.7009985,Primary(1-8),279,262,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,279,262,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Adaba,Adaba,7.272901663,38.73399707,Primary(1-8),303,218,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,303,218,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Watara,Watara,7.240889484,38.72023802,Primary(1-8),693,590,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,693,590,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,F/Gole,F/kite,7.302054615,38.59753346,Primary(1-4),140,147,,No Water Scheme,No Service,,,,No Latrine,No Service,No,140,147,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,G/M/Buta,G/M/Buta,7.408031921,38.71301123,Primary(1-8),279,273,,,No Service,,,,Simple Pit Latrine,Limited,Yes,279,273,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Galo Gara,Galo Gara,7.355344828,38.62113382,Primary(1-8),149,141,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,149,141,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Gurate,Gurate,7.235602507,38.74376571,Primary(1-8),421,434,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,421,434,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Shesha,Adventist-2ry,0,34.51125608,High School 9-10,342,213,New Scheme,Pipeline Connection,Basic,1999,Functional,,Simple Pit Latrine,Limited,Yes,342,213,No,"Clean, Used",No Service,Yes,No,No,No,No,Yes
Negelle Arsi,Ali,Ali,7.40922207,38.65644685,Primary(1-8),179,185,,,No Service,,,,Simple Pit Latrine,Limited,Yes,179,185,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Qiqichaa,Qiqichaa,7.369281165,38.63942504,Primary(1-8),166,173,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,166,173,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,G/Arjo,G/Arjo,7.46127868,38.67917221,Primary(1-8),261,,,,No Service,,,,Simple Pit Latrine,Limited,Yes,261,,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Dole,Dole,7.524492624,38.67111326,Primary(1-8),422,429,,,No Service,,,,Simple Pit Latrine,Limited,Yes,422,429,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,D/D/Harangama,D/D/Harangama,7.58724393,38.67375823,Primary(1-8),341,370,,,No Service,,,,Simple Pit Latrine,Limited,Yes,341,370,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Gale,Gale,7.506353841,38.64487828,Primary(1-8),220,200,,,No Service,,,,Simple Pit Latrine,Limited,Yes,220,200,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Hadha,Hadha,7.517846497,38.68675368,Primary(1-4),81,106,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,81,106,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Aga Shawo,Aga Shawo,7.24787872,38.8217985,Primary(1-8),137,154,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,137,154,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,lalu kawa,lalu kawa,7.366096547,38.75995583,Primary(1-4),520,410,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,520,410,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,C/Tulu,C/Tulu,7.344234008,38.77961077,Primary(1-8),160,124,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,160,124,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,S/Laga,S/Laga,7.329684959,38.7097728,Primary(1-8),130,127,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,130,127,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Qararu,Qararu,7.486254649,38.72041045,Primary(1-8),425,354,,,No Service,,,,Simple Pit Latrine,Limited,Yes,425,354,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,R/Totamo,R/Totamo,7.454153422,38.69581652,Primary(1-8),168,158,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,168,158,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Mudhi Arjo,Mudhi Arjo,7.61505564,38.82384447,Primary(1-8),324,216,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,324,216,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Alge,Alge,7.569037897,38.43700475,Primary(1-8),448,323,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,448,323,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Arjo Fike,Arjo Fike,7.479679189,38.66919832,Primary(1-8),322,283,,,No Service,,,,Simple Pit Latrine,Limited,Yes,322,283,No,Dirty But Used,No Service,Yes,No,No,No,No,No
