Identifier,District,Municipality/Union,Ward Number,School Name,Latitude,Longitude,School Type,Total number of Boys enrolled in the school,Total number of Girls enrolled in the school,What is the total enrolment in the school?,What is the regular number of staff in the school?,Drinking Water,Is there an improved water source that serves the school?,What is the type of improved water source?,What year was the water facility constructed?,Who funded the construction of the water point?,Sanitation,Does the school have any sanitation facilities?,What type of sanitation facilities are present?,"In total, how many functioning stances are for females?","IN total, how many functioning stances are for Males?",Is there a sanitation facility accessible to students with disabilities?,In what year was the latest (MOST RECENT) sanitation facility constructed?,"Condition of the superstructure, roof, walls, and doors",Condition are the floor/slabs/platform,Latrines/cesspits last emptied?,Who paid for the emptying service?,Hygiene,Is there a place for handwashing?,Is there water available at the handwashing station?,Is there soap at hand washing station?,Are there any abandoned or not in use sanitation facilities on the plot that pose a risk or threat to the safety of children?,Do community members not attending the school ever come to use the sanitation facilities?
3u1u-mxu9-s7dj,Satkhira,Agardari,9,Babulia j.s high  school,22.7547761,89.03622654,Secondary,413,258,671,13,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to septic tank,2,2,No,,"Poor - short wall, poor or no door",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
3umn-fwdr-km0v,Satkhira,Jhaudanga Union,5,Jhaudanga High School,22.81217031,89.03496613,Secondary,650,550,1200,24,Basic,Yes,Piped water to yard/plot,,,Limited,Yes,toilet that flush/poor flush to septic tank,3,3,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
efa9-m5sd-d1fj,Satkhira,Jhaudanga Union,5,Jhaudanga govt. primary school,22.81255567,89.03509527,Primary,198,219,417,8,Basic,Yes,Shallow tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to piped sewer system,3,3,Yes,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
7kxf-9uqq-tdra,Barguna,Noltona Union,9,Sonatala Islamia Dakhil Madrassa,22.00685584,90.00256325,Madrassa,280,170,450,14,Basic,Yes,PSF (pond sand filter),,,Limited,Yes,Twinpit offset latrine,1,1,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,No Service,No,No,No,,
3huf-cetd-mv9s,Barguna,Noltona Union,3,Garjonbunia High School.,22.03594931,90.02460807,Secondary,170,200,370,10,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,1,1,No,,"Poor - short wall, poor or no door",Medium - some minor cracks,,,Limited,Yes,Yes,No,,
4515-rw1d-jyyp,Satkhira,Balli Union,5,ভাটপাড়া সরকারি প্রাথমিক বিদ্যালয়,22.79781424,89.05933859,Primary,51,46,97,7,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to septic tank,1,1,No,,"Poor - short wall, poor or no door",Good - No cracks or gaps,,,No Service,No,No,No,,
7xdd-crpy-4evc,Barguna,Patharghata Municipality,5,patharghata women.dakhil madrasa,22.04153229,89.95618348,Madrassa,0,172,172,15,Basic,Yes,Piped water to yard/plot,,,Basic,Yes,toilet that flush/poor flush to septic tank,,,No,,,,,,Basic,Yes,Yes,Yes,,
xxky-09cf-9yev,Barguna,Noltona Union,2,Naltona Sarkari Primary School.,22.05099582,90.03075827,Primary,53,47,100,4,Limited,Yes,Deep tubewell/borehole,,,No Service,No,Pit latrine without slab/open pit,,,No,,,,,,Limited,Yes,Yes,No,,
wncn-vtu4-nfpg,Barguna,Noltona Union,7,Nishan Baria govt.primary school,22.03401151,90.00865683,Primary,52,50,102,3,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,1,1,No,,,,,,Limited,Yes,Yes,No,,
ejym-mmh7-asc7,Satkhira,Shatkhira Municipality,3,সাতক্ষীরা পল্লীমঙ্গল মাধ্যমিক বিদ্যালয়,22.70526583,89.08642436,Secondary,460,190,650,15,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,2,2,No,,,,,,Basic,Yes,Yes,Yes,,
